grid_id,grid_latitude,grid_longitude,target_month,score,probability,risk_tier,rank
1059_362,51.5152815551396,-0.1314943301545256,2026-01-01,0.982651630897384,0.8434993822301485,Critical,1
1066_365,51.52794721415845,-0.0805172209524664,2026-01-01,0.9824592218691781,0.84204254941335,Critical,2
1069_363,51.51860532887864,-0.05928923464847,2026-01-01,0.9818629346888104,0.8375580361433426,Critical,3
1059_361,51.51078822541224,-0.1316781844064359,2026-01-01,0.9809500025621545,0.8307794283740199,Critical,4
1062_364,51.52392192226946,-0.109517487622551,2026-01-01,0.9714261907403926,0.7657624981954646,Critical,5
1063_358,51.4968460649736,-0.103434551681395,2026-01-01,0.9702912161154017,0.7586407683846091,Critical,6
1066_364,51.52345402650311,-0.0807061756310789,2026-01-01,0.9688531942752971,0.749790342246843,Critical,7
1060_360,51.506179980507696,-0.1246617772615718,2026-01-01,0.9687590724144983,0.749217655646253,Critical,8
1065_353,51.47414613108746,-0.0899764265263583,2026-01-01,0.9684175345775705,0.7471462640531751,Critical,9
1064_357,51.49223617114382,-0.09642314309234,2026-01-01,0.9672776961572098,0.7403083927746678,Critical,10
1055_363,51.52023032666413,-0.1601202505836791,2026-01-01,0.9655527709410877,0.7301750429087306,Critical,11
1055_343,51.43036160881995,-0.1637327584788484,2026-01-01,0.9649814358747282,0.7268740837674637,Critical,12
914_680,52.956577218947245,-1.149246232429506,2026-01-01,0.9647967022083184,0.7258125530760635,Critical,13
1060_355,51.483713345038986,-0.1255836312983937,2026-01-01,0.9647655602082177,0.725633879609807,Critical,14
1054_350,51.461928360654326,-0.1696638921853716,2026-01-01,0.9646887325639532,0.7251934313863762,Critical,15
1055_358,51.49776329421589,-0.1610251325229992,2026-01-01,0.9639904896960608,0.7212125670741971,Critical,16
1047_359,51.50314581406257,-0.2184434876298954,2026-01-01,0.9638202709844025,0.7202481050751253,Critical,17
1062_350,51.4610158327363,-0.112118138270035,2026-01-01,0.9632216060916369,0.7168745351676956,Critical,18
1042_371,51.55761056266429,-0.2523807704113934,2026-01-01,0.9630898706446914,0.7161360214104843,Critical,19
1065_360,51.505598797993166,-0.088661429093485,2026-01-01,0.9606040459542435,0.7024537054732972,Critical,20
1068_353,51.473792516899614,-0.0683916408919244,2026-01-01,0.9598222005490509,0.6982473293085354,Critical,21
1069_366,51.53208472117984,-0.0587159975068638,2026-01-01,0.959435589523938,0.6961840386705405,Critical,22
1067_378,51.58623994946525,-0.0708437100783545,2026-01-01,0.9581072954119609,0.6891778262961863,Critical,23
1062_379,51.59132044570893,-0.1067205846621682,2026-01-01,0.9566811163466714,0.6817947992274053,Critical,24
1060_362,51.515166607126936,-0.1242927011649583,2026-01-01,0.9565230667545744,0.6809853188275039,Critical,25
1058_362,51.51539606124157,-0.1386960067931912,2026-01-01,0.9561871194162482,0.6792703967363756,Critical,26
1043_366,51.53503503739904,-0.2460361871542248,2026-01-01,0.9561561954249663,0.6791129258337125,Critical,27
1068_384,51.61307966863088,-0.0624839986270644,2026-01-01,0.9560965288842418,0.6788092765956839,Critical,28
1056_359,51.502143582520326,-0.153644554175043,2026-01-01,0.9555394182754658,0.6759857426044743,Critical,29
1071_357,51.49140745293957,-0.0460392094165649,2026-01-01,0.9554199066286403,0.6753827666307672,Critical,30
1074_365,51.52699005379642,-0.0228912943470735,2026-01-01,0.9554019015270334,0.675292008095817,Critical,31
1062_351,51.46550915049095,-0.1119326900501496,2026-01-01,0.9539428229546345,0.6680088265429301,Critical,32
1077_368,51.54010272904252,-0.0006918633786178,2026-01-01,0.9528561458507899,0.6626748550506704,Critical,33
1062_373,51.5643611428767,-0.1078406516668137,2026-01-01,0.952648071981093,0.6616621523631405,Critical,34
1055_362,51.51573692801555,-0.1603013207725269,2026-01-01,0.9525593856842086,0.6612313483863175,Critical,35
1052_354,51.480126056198856,-0.1833369590056679,2026-01-01,0.9521578704194318,0.6592871585978743,Critical,36
1065_365,51.52806486994427,-0.0877206841165646,2026-01-01,0.9517145389888586,0.6571522461262339,Critical,37
1067_362,51.51434959811661,-0.0738826477933293,2026-01-01,0.9514826404670436,0.65604039214664,Critical,38
1067_377,51.58174683223964,-0.071034013344579,2026-01-01,0.9511359901092443,0.6543845591760374,Critical,39
1057_362,51.51551012542608,-0.1458977308978333,2026-01-01,0.9499236250483003,0.6486512960522057,Critical,40
1056_362,51.51562374768632,-0.1530995022853242,2026-01-01,0.9497966868707992,0.6480561473789703,Critical,41
1076_361,51.5087743371766,-0.009269149963695,2026-01-01,0.9496855483893742,0.6475358678648707,Critical,42
1067_380,51.59522617202221,-0.0704629553780838,2026-01-01,0.9496312074340958,0.6472817469365189,Critical,43
