model,mae,rmse,r2,n,mean_actual
xgboost,0.23948292570984522,0.4309087865529365,0.17298465477308111,364656,0.17579307621429513
random_forest,0.24855826451504484,0.437186995331935,0.14871037974249723,364656,0.17579307621429513
historical_average_baseline,0.2832541719684671,0.5114788736740647,-0.16519407800104213,364656,0.17579307621429513
