family,n_estimators,max_depth,min_samples_leaf,mae,rmse,r2,n,mean_actual,learning_rate
random_forest,150,8,5.0,0.2485587062024182,0.4371799436897987,0.1487378414072204,364656,0.1757930762142951,
random_forest,150,8,20.0,0.2485582645150448,0.437186995331935,0.1487103797424972,364656,0.1757930762142951,
random_forest,150,12,5.0,0.2492507579895622,0.4370654227680809,0.149183765607758,364656,0.1757930762142951,
random_forest,150,12,20.0,0.2489240881869396,0.4369834960283041,0.1495027021496674,364656,0.1757930762142951,
random_forest,150,16,5.0,0.2511831765704292,0.4374704722913378,0.1476060503213533,364656,0.1757930762142951,
random_forest,150,16,20.0,0.2500554831322288,0.4371112288626778,0.1490054188014333,364656,0.1757930762142951,
xgboost,300,4,,0.2394829257098452,0.4309087865529365,0.1729846547730811,364656,0.1757930762142951,0.05
xgboost,300,4,,0.2395115053326703,0.4317488100060896,0.1697571066152071,364656,0.1757930762142951,0.1
xgboost,300,6,,0.2516729305840887,0.4406723536695853,0.1350829094932661,364656,0.1757930762142951,0.05
xgboost,300,6,,0.2531897459182608,0.4424056914573746,0.1282654092678201,364656,0.1757930762142951,0.1
xgboost_widened,300,2,,0.24716679783734374,0.43160762125995183,0.1703000231621904,364656,0.17579307621429513,0.02
xgboost_widened,300,2,,0.24377736380053414,0.4311709412535565,0.17197807557669575,364656,0.17579307621429513,0.05
xgboost_widened,300,2,,0.24289058645613554,0.4311820026613307,0.17193559031268146,364656,0.17579307621429513,0.1
xgboost_widened,300,3,,0.243369847591825,0.4311190564869096,0.17217734289889575,364656,0.17579307621429513,0.02
xgboost_widened,300,3,,0.2416049362396651,0.43091465693808456,0.17296212131903643,364656,0.17579307621429513,0.05
xgboost_widened,300,3,,0.24211387735190876,0.43092604058371425,0.17291842435798999,364656,0.17579307621429513,0.1
xgboost_widened,300,4,,0.240737882987137,0.43113518962236297,0.17211538495597178,364656,0.17579307621429513,0.02
xgboost_widened,300,4,,0.23948292570984522,0.4309087865529365,0.17298465477308111,364656,0.17579307621429513,0.05
xgboost_widened,300,4,,0.23951150533267038,0.4317488100060896,0.16975710661520715,364656,0.17579307621429513,0.1
xgboost_widened,300,6,,0.2513704865872712,0.4400899427238249,0.1373676196479645,364656,0.17579307621429513,0.02
xgboost_widened,300,6,,0.25167293058408874,0.44067235366958535,0.13508290949326618,364656,0.17579307621429513,0.05
xgboost_widened,300,6,,0.2531897459182608,0.44240569145737463,0.12826540926782015,364656,0.17579307621429513,0.1
xgboost_widened,300,8,,0.2539619400221621,0.44178549005705225,0.13070783738006042,364656,0.17579307621429513,0.02
xgboost_widened,300,8,,0.25564846756674003,0.44381141737605895,0.12271680628722426,364656,0.17579307621429513,0.05
xgboost_widened,300,8,,0.25887087308042195,0.4477905388815055,0.1069152056310988,364656,0.17579307621429513,0.1
